age,"Cond on getting BC, prob of getting cancer at age t",deaths,surv,10year mort prob,RR
0,0,353.6,100000,0.004385671,
1,0,21.2246832,99646.4,0.000916632,
2,0,12.65239727,99625.17532,0.000769735,
3,0,9.762027246,99612.52292,0.000702779,
4,0,6.772987741,99602.76089,0.000684789,
5,0,8.56525496,99595.9879,0.000717769,
6,0,8.166168657,99587.42265,0.000743753,
7,0,6.173913902,99579.25648,0.00080871,
8,0,6.372677284,99573.08257,0.000905637,
9,0,5.277035624,99566.70989,0.0010685,
10,0,6.371931703,99561.43285,0.001215351,
11,0,6.570634021,99555.06092,0.001341206,
12,0,5.972909417,99548.49029,0.001486021,
13,0,7.96340139,99542.51738,0.00165478,
14,0,10.05298995,99534.55398,0.001796556,
15,7.20E-06,11.14674411,99524.50099,0.001917351,
16,7.20E-06,14.62846307,99513.35424,0.002059094,
17,7.20E-06,15.8202974,99498.72578,0.002173875,
18,7.20E-06,22.58261954,99482.90548,0.002306607,
19,7.20E-06,19.89206457,99460.32286,0.002393426,
20,0.000118818,18.89368185,99440.4308,0.002513162,
21,0.000118818,20.97794433,99421.53712,0.002692744,
22,0.000118818,22.76272805,99400.55917,0.00287529,
23,0.000118818,22.06187081,99377.79644,0.003098697,
24,0.000118818,22.05697308,99355.73457,0.003361937,
25,0.000925343,25.23075411,99333.6776,0.003694888,
26,0.000925343,26.01881307,99308.44685,0.004021759,
27,0.000925343,28.99046899,99282.42803,0.004403319,
28,0.000925343,31.1655794,99253.43756,0.004893296,
29,0.000925343,31.75112704,99222.27199,0.005309381,
30,0.002495184,36.70049272,99190.52086,0.005838726,
31,0.002495184,39.06660522,99153.82037,0.006367815,
32,0.002495184,44.89898345,99114.75376,0.006956277,
33,0.002495184,48.14794942,99069.85478,0.007572244,
34,0.002495184,55.056069,99021.70683,0.008252387,
35,0.005105586,57.59859074,98966.65076,0.009006535,
36,0.005105586,63.79633865,98909.05217,0.009842429,
37,0.005105586,77.49468057,98845.25583,0.010752971,
38,0.005105586,72.29800116,98767.76115,0.011654882,
39,0.005105586,84.0885346,98695.46315,0.01275077,
40,0.009213819,88.9474599,98611.37461,0.013828778,
41,0.009213819,97.14311317,98522.42715,0.015079385,
42,0.009213819,105.6103298,98425.28404,0.01643203,
43,0.009213819,115.1323379,98319.67371,0.017893212,
44,0.009213819,129.2371764,98204.54137,0.019393664,
45,0.017909158,139.7573085,98075.3042,0.020962738,
46,0.017909158,153.1711953,97935.54689,0.022697126,
47,0.017909158,165.7411268,97782.37569,0.02463326,
48,0.017909158,179.6146076,97616.63456,0.026705525,
49,0.017909158,189.3201298,97437.01996,0.029035987,
50,0.023821268,210.9302609,97247.69983,0.031636426,
51,0.023821268,228.8127026,97036.76957,0.034436228,
52,0.023821268,247.5379457,96807.95686,0.037469457,
53,0.023821268,260.4234498,96560.41892,0.041046705,
54,0.023821268,280.6181868,96299.99547,0.044909238,
55,0.021790556,306.685891,96019.37728,0.049076024,
56,0.021790556,339.0143529,95712.69139,0.053649361,
57,0.021790556,363.9459516,95373.67704,0.058427375,
58,0.021790556,401.8911625,95009.73109,0.063686353,
59,0.021790556,436.7097891,94607.83992,0.069422129,
60,0.022355843,475.9408917,94171.13013,0.075667216,
61,0.022355843,514.5739793,93695.18924,0.082526231,
62,0.022355843,583.683374,93180.61526,0.08976356,
63,0.022355843,621.6958007,92596.93189,0.097986259,
