"","V1","V2","V3","V4","V5"
"1",18.092181369615,1705.53488451135,5.9878,0.1168,0.0363
"2",18.1413310931257,1772.79562324755,6.0088,0.1142,0.0311
"3",18.1646458840342,1714.12005385343,6.0468,0.1163,0.0333
"4",18.1149573533861,1677.51924850912,6.0198,0.1145,0.0347
"5",18.1257825350229,1743.34795724169,6.0027,0.119,0.0364
"6",18.1071732261806,1728.47070182662,6.0178,0.1193,0.0378
"7",18.1372467662854,1730.28927042226,6.0005,0.1194,0.0329
"8",18.105378030572,1768.84329923195,6.0111,0.1217,0.0357
"9",18.1070547801831,1776.08632619239,5.9739,0.1204,0.0353
"10",18.135947991919,1705.61811775474,6.0147,0.1143,0.0323
